No.[48],Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$36.4 billion,42,United States,Microsoft
2,Walton family,$27.6 billion,_,United States,Wal-Mart
3,Warren Buffett,$23.2 billion,66,United States,Berkshire Hathaway
4,Lee Shau-kee,$14.7 billion,69,Hong Kong,Henderson Land Development
5,Paul Allen,$14.1 billion,44,United States,Microsoft
6,Kwok brothers,$12.3 billion,48,Hong Kong,Sun Hung Kai Properties
7,Haas family,$12.3 billion,_,United States,Levi Strauss & Co
8,Forrest Mars Sr.,$12.0 billion,93,United States,"Mars, Inc."
9,Karl,$11.5 billion,77,Germany,Aldi
10,Tsai Wan-lin,$11.3 billion,73,Taiwan,Cathay Life Insurance
