No.[48],Name,Net worth (USD),Nationality,Source(s) of wealth
1,Walton family,$22.6 billion,United States,Wal-Mart
2,du Pont family,$9.0 billion,United States,DuPont
3,Hans,$9.0 billion,Sweden,Tetra Pak
4,Yoshiaki Tsutsumi,$8.5 billion,Japan,Seibu Corporation
5,Bill Gates,$8.2 billion,United States,Microsoft
6,Warren Buffett,$7.9 billion,United States,Berkshire Hathaway
7,Paul Sacher,$7.8 billion,Switzerland,Hoffmann-La Roche
8,Tsai Wan-lin,$7.5 billion,Taiwan,Lin Yuan Group
9,Karl,$7.3 billion,Germany,Aldi
10,Carlos Slim,$6.6 billion,Mexico,América Móvil
